Date,Name of State / UT,Latitude,Longitude,Total Confirmed cases,Death,Cured/Discharged/Migrated,New cases,New deaths,New recovered,total_tests,total_recovered,active_cases,NewColumn
07-03-2020,Delhi,28.7041,77.1025,3,0,0,0,0,0,846704.0,50930.0,34756.0,69512.0
07-03-2020,Haryana,29.0588,76.0856,14,0,0,0,0,0,127345763.0,2960386.0,9994.0,19988.0
07-03-2020,Kerala,10.8505,76.2711,3,0,3,0,0,0,305941.0,15427.0,15.0,30.0
07-03-2020,Rajasthan,27.0238,74.2179,1,0,0,0,0,0,194894.0,12323.0,299.0,598.0
07-03-2020,Tamil Nadu,11.1271,78.6569,1,0,0,0,0,0,3305829.0,575583.0,453.0,906.0
07-03-2020,Union Territory of Ladakh,34.2996,78.2932,2,0,0,0,0,0,3693367.0,442182.0,48850.0,97700.0
07-03-2020,Uttar Pradesh,26.8467,80.9462,7,0,0,0,0,0,1950448.0,150662.0,7298.0,14596.0
08-03-2020,Delhi,28.7041,77.1025,3,0,0,0,0,0,317211.0,15701.0,26.0,52.0
08-03-2020,Kerala,10.8505,76.2711,8,0,3,5,0,0,3345340.0,514836.0,56530.0,113060.0
08-03-2020,Rajasthan,27.0238,74.2179,1,0,0,0,0,0,4836364.0,455757.0,7670.0,15340.0
08-03-2020,Tamil Nadu,11.1271,78.6569,1,0,0,0,0,0,778000.0,7693.0,26937.0,53874.0
08-03-2020,Union Territory of Ladakh,34.2996,78.2932,2,0,0,0,0,0,517703.0,62875.0,1036.0,2072.0
09-03-2020,Delhi,28.7041,77.1025,4,0,0,1,0,0,271490188.0,28156674.0,856871.0,1713742.0
09-03-2020,Haryana,29.0588,76.0856,14,0,0,0,0,0,631628.0,11254.0,70133.0,140266.0
09-03-2020,Maharashtra,19.7515,75.7139,2,0,0,0,0,0,155686.0,11591.0,43.0,86.0
09-03-2020,Punjab,31.1471,75.3412,1,0,0,0,0,0,16920079.0,1637293.0,1117.0,2234.0
09-03-2020,Rajasthan,27.0238,74.2179,1,0,0,0,0,0,122332384.0,23956700.0,1685607.0,3371214.0
09-03-2020,Tamil Nadu,11.1271,78.6569,1,0,0,0,0,0,2442206.0,159788.0,47.0,94.0
09-03-2020,Telengana,18.1124,79.0193,1,0,0,0,0,0,534283.0,16579.0,1448.0,2896.0
09-03-2020,Union Territory of Jammu and Kashmir,33.7782,76.5762,1,0,0,0,0,0,81233888.0,3306014.0,57014.0,114028.0
09-03-2020,Union Territory of Ladakh,34.2996,78.2932,2,0,0,0,0,0,164926.0,2761.0,9189.0,18378.0
09-03-2020,Uttar Pradesh,26.8467,80.9462,7,0,0,0,0,0,157363.0,14634.0,1489.0,2978.0
10-03-2020,Delhi,28.7041,77.1025,4,0,0,0,0,0,938039.0,2250.0,137026.0,274052.0
10-03-2020,Haryana,29.0588,76.0856,14,0,0,0,0,0,4543522.0,831794.0,2291.0,4582.0
10-03-2020,Karnataka,15.3173,75.7139,4,0,0,3,0,0,136655.0,8010.0,41.0,82.0
10-03-2020,Kerala,10.8505,76.2711,15,0,3,6,0,0,660107.0,36113.0,42.0,84.0
10-03-2020,Maharashtra,19.7515,75.7139,5,0,0,3,0,0,610906.0,62301.0,275.0,550.0
10-03-2020,Punjab,31.1471,75.3412,1,0,0,0,0,0,132422.0,29605.0,273.0,546.0
10-03-2020,Tamil Nadu,11.1271,78.6569,1,0,0,0,0,0,1365056.0,132358.0,281136.0,562272.0
10-03-2020,Telengana,18.1124,79.0193,1,0,0,0,0,0,11394556.0,1821435.0,42170.0,84340.0
10-03-2020,Union Territory of Ladakh,34.2996,78.2932,2,0,0,0,0,0,843836914.0,42579693.0,17692.0,35384.0
10-03-2020,Uttar Pradesh,26.8467,80.9462,7,0,0,0,0,0,97245391.0,5889534.0,4784.0,9568.0
11-03-2020,Delhi,28.7041,77.1025,5,0,0,1,0,0,51771715.0,7020835.0,65992.0,131984.0
11-03-2020,Haryana,29.0588,76.0856,14,0,0,0,0,0,18529376.0,2299985.0,1257.0,2514.0
11-03-2020,Karnataka,15.3173,75.7139,4,0,0,0,0,0,12144747.0,1499879.0,28369.0,56738.0
11-03-2020,Kerala,10.8505,76.2711,17,0,3,2,0,0,150753.0,26794.0,1517.0,3034.0
11-03-2020,Maharashtra,19.7515,75.7139,10,0,0,5,0,0,41373364.0,4081150.0,14894.0,29788.0
11-03-2020,Punjab,31.1471,75.3412,1,0,0,0,0,0,217853667.0,15894511.0,998118.0,1996236.0
11-03-2020,Rajasthan,27.0238,74.2179,3,0,0,2,0,0,1031235.0,84883.0,44102.0,88204.0
11-03-2020,Tamil Nadu,11.1271,78.6569,1,0,0,0,0,0,50444181.0,7951587.0,356585.0,713170.0
11-03-2020,Telengana,18.1124,79.0193,1,0,0,0,0,0,16670254.0,1678941.0,1227.0,2454.0
11-03-2020,Union Territory of Jammu and Kashmir,33.7782,76.5762,1,0,0,0,0,0,11575012.0,1291669.0,306.0,612.0
11-03-2020,Union Territory of Ladakh,34.2996,78.2932,2,0,0,0,0,0,3630986.0,318142.0,235.0,470.0
11-03-2020,Uttar Pradesh,26.8467,80.9462,9,0,0,2,0,0,,2602.0,478.0,956.0
12-03-2020,Andhra Pradesh,15.9129,79.74,1,0,0,0,0,0,8071763.0,629114.0,405.0,810.0
12-03-2020,Delhi,28.7041,77.1025,6,0,0,1,0,0,1907195.0,196406.0,1596.0,3192.0
12-03-2020,Karnataka,15.3173,75.7139,4,1,0,0,0,0,7217715.0,816253.0,3648.0,7296.0
12-03-2020,Kerala,10.8505,76.2711,17,0,3,0,0,0,4795578.0,1084853.0,2696.0,5392.0
12-03-2020,Maharashtra,19.7515,75.7139,11,0,0,1,0,0,431221.0,24155.0,8058.0,16116.0
12-03-2020,Punjab,31.1471,75.3412,1,0,0,0,0,0,139824.0,5747.0,1410.0,2820.0
12-03-2020,Rajasthan,27.0238,74.2179,3,0,0,0,0,0,2477219.0,490973.0,4501.0,9002.0
12-03-2020,Tamil Nadu,11.1271,78.6569,1,0,0,0,0,0,102174.0,17192.0,71.0,142.0
12-03-2020,Telengana,18.1124,79.0193,1,0,0,0,0,0,9954903.0,1032609.0,18883.0,37766.0
