Date,High,Low,Open,Close,Volume,Symbol
2/1/2020,209.79,206.27,206.75,209.78,12077100,Facebook
3/1/2020,210.4,206.95,207.21,208.67,11188400,Facebook
6/1/2020,212.78,206.52,206.7,212.6,17058900,Facebook
7/1/2020,214.58,211.75,212.82,213.06,14912400,Facebook
8/1/2020,216.24,212.61,213,215.22,13475000,Facebook
9/1/2020,218.38,216.28,217.54,218.3,12642800,Facebook
10/1/2020,219.88,217.42,219.2,218.06,12119400,Facebook
13-01-2020,221.97,219.21,219.6,221.91,14463400,Facebook
14-01-2020,222.38,218.63,221.61,219.06,13288900,Facebook
15-01-2020,221.68,220.14,220.61,221.15,10036500,Facebook
16-01-2020,222.63,220.39,222.57,221.77,10015300,Facebook
17-01-2020,222.29,220.53,222.03,222.14,15905900,Facebook
21-01-2020,222.37,219.12,222.16,221.44,14275800,Facebook
22-01-2020,222.75,221.28,222.31,221.32,12212800,Facebook
23-01-2020,221.49,219.27,220.75,219.76,11195000,Facebook
24-01-2020,221.78,216.11,220.8,217.94,11905800,Facebook
27-01-2020,216.06,212.5,213.1,214.87,13810700,Facebook
28-01-2020,218.74,213.52,216.14,217.79,13413800,Facebook
29-01-2020,224.2,218.45,221.44,223.23,33181300,Facebook
30-01-2020,211.43,204.75,206.53,209.53,48775500,Facebook
31-01-2020,208.69,201.06,208.43,201.91,31359900,Facebook
3/2/2020,205.14,202.5,203.44,204.19,15495600,Facebook
4/2/2020,210.6,205.2,206.62,209.83,19628900,Facebook
5/2/2020,212.73,208.71,212.51,210.11,12538200,Facebook
6/2/2020,211.19,209.34,210.47,210.85,10567500,Facebook
7/2/2020,212.82,209.93,210.3,212.33,12242500,Facebook
10/2/2020,213.8,210.66,211.52,213.06,11856400,Facebook
11/2/2020,210.86,206.51,210.19,207.19,25030800,Facebook
12/2/2020,211.22,207.4,207.85,210.76,13813700,Facebook
13-02-2020,214.33,209.18,209.52,213.14,15396600,Facebook
14-02-2020,214.93,212.65,214,214.18,10741700,Facebook
18-02-2020,217.98,213.4,213.55,217.8,15609200,Facebook
19-02-2020,218.32,216.11,217.99,217.49,12135100,Facebook
20-02-2020,218.77,212.95,216.52,214.58,13109200,Facebook
21-02-2020,214.24,208.83,213.48,210.18,14092300,Facebook
24-02-2020,203.65,198.17,201.8,200.72,23080100,Facebook
25-02-2020,203.5,195.95,202.25,196.77,21433500,Facebook
26-02-2020,201.21,195.49,197.19,197.2,16524500,Facebook
27-02-2020,195.88,189.5,191.82,189.75,21682600,Facebook
28-02-2020,192.74,181.82,182.7,192.47,32568900,Facebook
2/3/2020,196.57,188.85,194.03,196.44,24949000,Facebook
3/3/2020,197.24,183.97,196.22,185.89,27984100,Facebook
4/3/2020,191.83,186.39,189.17,191.76,23062500,Facebook
5/3/2020,188.99,183.89,186.78,185.17,19333400,Facebook
6/3/2020,183.78,176.26,178.33,181.09,24559600,Facebook
9/3/2020,175,165.19,169.6,169.5,29949000,Facebook
10/3/2020,178.29,169.5,174.67,178.19,24517800,Facebook
11/3/2020,175.88,167.66,174.01,170.24,20373900,Facebook
12/3/2020,166.6,154.34,159.54,154.47,43266300,Facebook
13-03-2020,170.79,157.6,163.53,170.28,35028600,Facebook
16-03-2020,159.13,143.1,152.32,146.01,39120400,Facebook
17-03-2020,153.94,140,150.74,149.42,34255600,Facebook
18-03-2020,148.18,137.1,139.75,146.96,37553100,Facebook
